-3,-3,-3,-3,-3,0.000272242
-2.5,-2.5,-2.5,-2.5,-2.5,0.00237044
-2,-2,-2,-2,-2,0.00524508
-1.5,-1.5,-1.5,-1.5,-1.5,0.00281291
-1,-1,-1,-1,-1,0.000380617
-0.5,-0.5,-0.5,-0.5,-0.5,1.67483e-05
0,0,0,0,0,4.60155e-06
0.5,0.5,0.5,0.5,0.5,3.64268e-05
1,1,1,1,1,0.00049309
1.5,1.5,1.5,1.5,1.5,0.00255692
2,2,2,2,2,0.00444253
2.5,2.5,2.5,2.5,2.5,0.00251476
3,3,3,3,3,0.00047678
-3,-3,-3,-3,-3,0.000272242
-2.5,-2.5,-2.5,-2.5,-2.5,0.00237044
-2,-2,-2,-2,-2,0.00524508
-1.5,-1.5,-1.5,-1.5,-1.5,0.00281291
-1,-1,-1,-1,-1,0.000380617
-0.5,-0.5,-0.5,-0.5,-0.5,1.67483e-05
0,0,0,0,0,4.60155e-06
0.5,0.5,0.5,0.5,0.5,3.64268e-05
1,1,1,1,1,0.00049309
1.5,1.5,1.5,1.5,1.5,0.00255692
2,2,2,2,2,0.00444253
2.5,2.5,2.5,2.5,2.5,0.00251476
3,3,3,3,3,0.00047678
-3,-3,-3,-3,-3,0.000272242
-2.5,-2.5,-2.5,-2.5,-2.5,0.00237044
-2,-2,-2,-2,-2,0.00524508
-1.5,-1.5,-1.5,-1.5,-1.5,0.00281291
-1,-1,-1,-1,-1,0.000380617
-0.5,-0.5,-0.5,-0.5,-0.5,1.67483e-05
0,0,0,0,0,4.60155e-06
0.5,0.5,0.5,0.5,0.5,3.64268e-05
1,1,1,1,1,0.00049309
1.5,1.5,1.5,1.5,1.5,0.00255692
2,2,2,2,2,0.00444253
2.5,2.5,2.5,2.5,2.5,0.00251476
3,3,3,3,3,0.00047678
-3,-3,-3,-3,-3,0.000272242
-2.5,-2.5,-2.5,-2.5,-2.5,0.00237044
-2,-2,-2,-2,-2,0.00524508
-1.5,-1.5,-1.5,-1.5,-1.5,0.00281291
-1,-1,-1,-1,-1,0.000380617
-0.5,-0.5,-0.5,-0.5,-0.5,1.67483e-05
0,0,0,0,0,4.60155e-06
0.5,0.5,0.5,0.5,0.5,3.64268e-05
1,1,1,1,1,0.00049309
1.5,1.5,1.5,1.5,1.5,0.00255692
2,2,2,2,2,0.00444253
2.5,2.5,2.5,2.5,2.5,0.00251476
3,3,3,3,3,0.00047678
-3,-3,-3,-3,-3,0.000272242
-2.5,-2.5,-2.5,-2.5,-2.5,0.00237044
-2,-2,-2,-2,-2,0.00524508
-1.5,-1.5,-1.5,-1.5,-1.5,0.00281291
-1,-1,-1,-1,-1,0.000380617
-0.5,-0.5,-0.5,-0.5,-0.5,1.67483e-05
0,0,0,0,0,4.60155e-06
0.5,0.5,0.5,0.5,0.5,3.64268e-05
1,1,1,1,1,0.00049309
1.5,1.5,1.5,1.5,1.5,0.00255692
2,2,2,2,2,0.00444253
2.5,2.5,2.5,2.5,2.5,0.00251476
3,3,3,3,3,0.00047678
-3,-3,-3,-3,-3,0.000272242
-2.5,-2.5,-2.5,-2.5,-2.5,0.00237044
-2,-2,-2,-2,-2,0.00524508
-1.5,-1.5,-1.5,-1.5,-1.5,0.00281291
-1,-1,-1,-1,-1,0.000380617
-0.5,-0.5,-0.5,-0.5,-0.5,1.67483e-05
0,0,0,0,0,4.60155e-06
0.5,0.5,0.5,0.5,0.5,3.64268e-05
1,1,1,1,1,0.00049309
1.5,1.5,1.5,1.5,1.5,0.00255692
2,2,2,2,2,0.00444253
2.5,2.5,2.5,2.5,2.5,0.00251476
3,3,3,3,3,0.00047678
-3,-3,-3,-3,-3,0.000272242
-2.5,-2.5,-2.5,-2.5,-2.5,0.00237044
-2,-2,-2,-2,-2,0.00524508
-1.5,-1.5,-1.5,-1.5,-1.5,0.00281291
-1,-1,-1,-1,-1,0.000380617
-0.5,-0.5,-0.5,-0.5,-0.5,1.67483e-05
0,0,0,0,0,4.60155e-06
0.5,0.5,0.5,0.5,0.5,3.64268e-05
1,1,1,1,1,0.00049309
1.5,1.5,1.5,1.5,1.5,0.00255692
2,2,2,2,2,0.00444253
2.5,2.5,2.5,2.5,2.5,0.00251476
3,3,3,3,3,0.00047678
-3,-3,-3,-3,-3,0.000272242
-2.5,-2.5,-2.5,-2.5,-2.5,0.00237044
-2,-2,-2,-2,-2,0.00524508
-1.5,-1.5,-1.5,-1.5,-1.5,0.00281291
-1,-1,-1,-1,-1,0.000380617
-0.5,-0.5,-0.5,-0.5,-0.5,1.67483e-05
0,0,0,0,0,4.60155e-06
0.5,0.5,0.5,0.5,0.5,3.64268e-05
1,1,1,1,1,0.00049309
